organization,id,type,source,location,continent,industry,year,records
CyberVor,1,Account Access,Malicious Outsider,Global,Global,Technology,2014,1200000000
eBay,2,Identity Theft,Malicious Outsider,United States,North America,Retail,2014,145000000
Home Depot,3,Financial Access,Malicious Outsider,United States,North America,Retail,2014,109000000
JPMorgan Chase,4,Identity Theft,Malicious Outsider,United States,North America,Financial,2014,83000000
"Korea Credit Bureau, NH Nonghyup Card, Lotte Card, KB Kookmin Card",5,Identity Theft,Malicious Insider,South Korea,Asia,Financial,2014,104000000
Yahoo,6,Account Access,State Sponsored,United States,North America,Technology,2014,500000000
"Bank of America, JP Morgan Chase, HSBC, TD Bank and Wachovia",7,Account Access,Malicious Outsider,United States,North America,Financial,2014,83000000
Benesse,8,Identity Theft,Malicious Insider,Japan,Asia,Education,2014,48600000
"Websites for online games, movie ticketing and ring tone downloads",9,Identity Theft,Malicious Outsider,South Korea,Asia,Technology,2014,27000000
AliExpress,10,Account Access,Accidental Loss,China,Asia,Retail,2014,300000000
Homeplus Co./Tesco PLC,11,Identity Theft,Malicious Insider,South Korea,Asia,Retail,2014,24000000
"Korean Medical Association, Association of Korean Medicine and Korean Dental Association",12,Identity Theft,Malicious Outsider,South Korea,Asia,Healthcare,2014,17000000
Korea Telecom,13,Identity Theft,Malicious Outsider,South Korea,Asia,Technology,2014,12000000
Naver,14,Account Access,Malicious Outsider,South Korea,Asia,Technology,2014,25000000
Northwestern city of Verden,15,Financial Access,Malicious Outsider,Germany,Europe,Government,2014,18000000
"Premera, LifeWise",16,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2014,11250000
Internet country Germany,17,Account Access,Malicious Outsider,Germany,Europe,Government,2014,16000000
Pandora TV,18,Identity Theft,Malicious Outsider,South Korea,Asia,Other,2014,7450000
Serbian State,19,Identity Theft,Malicious Outsider,Serbia,Europe,Government,2014,7276604
Community Health Systems Inc,20,Identity Theft,Malicious Outsider,United States,North America,Healthcare,2014,4500000
United States Postal Service,21,Identity Theft,State Sponsored,United States,North America,Government,2014,3650000
Bulgaria Citizens,22,Identity Theft,Malicious Outsider,Bulgaria,Europe,Other,2014,2832312
"Educational Credit Management Corp, St. Paul",23,Identity Theft,Malicious Outsider,United States,North America,Financial,2014,3300000
Hannaford Bros,24,Financial Access,Malicious Outsider,United States,North America,Retail,2014,4200000
ReverbNation,25,Identity Theft,Malicious Outsider,United States,North America,Other,2014,3000000
FC Barcelona's official Twitter account,26,Nuisance,Malicious Outsider,Spain,Europe,Other,2014,11119878
GE Healthcare,27,Existential Data,Malicious Insider,United States,North America,Healthcare,2014,2400000
Gmail,28,Account Access,Malicious Outsider,Global,Global,Technology,2014,5000000
"Michael's Stores, Aaron Brothers",29,Financial Access,Malicious Outsider,United States,North America,Retail,2014,3000000
AOL,30,Identity Theft,Malicious Outsider,United States,North America,Technology,2014,2000000
HSBC Bank,31,Financial Access,Malicious Outsider,Turkey,Europe,Financial,2014,2700000
Viator (TripAdvisor),32,Identity Theft,Malicious Outsider,United Kingdom,Europe,Other,2014,1400000
French telecoms group Orange,33,Identity Theft,Malicious Outsider,France,Europe,Other,2014,1300000
iCloud Apple,34,Account Access,State Sponsored,United States,North America,Technology,2014,2000000
Montana Department of Public Health and Human Services,35,Identity Theft,Malicious Outsider,United States,North America,Government,2014,1300000
Mumsnet Limited,36,Financial Access,Malicious Outsider,United Kingdom,Europe,Other,2014,1500000
Oregon Employment Department,37,Identity Theft,Malicious Outsider,United States,North America,Government,2014,1300000
Scottrade,38,Nuisance,Malicious Outsider,United States,North America,Retail,2014,4600000
Snapchat,39,Account Access,Malicious Outsider,United States,North America,Technology,2014,4600000
Telia,40,Nuisance,Malicious Outsider,Sweden,Europe,Technology,2014,5000000
"Visa, Mastercard, American Express, and Discover cards",41,Financial Access,Hacktivist,Ukraine,Europe,Financial,2014,7000000
Affin Bank Berhad and Affin Islamic Bank Berhad,42,Financial Access,Malicious Outsider,United Kingdom,Europe,Financial,2014,1271000
Salesforce,43,Account Access,Malicious Outsider,United States,North America,Technology,2014,2000000
Skype Twitter,44,Nuisance,State Sponsored,United States,North America,Technology,2014,3000000
